Destination,FlightNumber,Code,lat,lng,country,Date,Time,Airline,Armenian,DayOfWeek,Status
Sharm El Sheikh,3F 7641,SSH,27.9158,34.3297,Egypt,2023-10-25,08:00:00,Fly One,1,Wednesday,Ontime
Moscow,3F 321,VKO,55.7558,37.6178,Russia,2023-10-25,09:10:00,Fly One,1,Wednesday,Ontime
Abu Dhabi,5W 7014,AUH,24.4667,54.3667,United Arab Emirates,2023-10-25,09:25:00,Wizz Air,0,Wednesday,Ontime
Paris,DL 8723,CDG,48.8567,2.3522,France,2023-10-25,09:50:00,Delta Airlines,0,Wednesday,Ontime
Kishinev,3F 868,KIV,47.0105,28.8638,Moldova,2023-10-25,10:00:00,Fly One,1,Wednesday,Ontime
Larnaca,W6 4558,LCA,34.9167,33.6333,Cyprus,2023-10-25,10:15:00,Wizz Air,0,Wednesday,Ontime
Mineralnye Vody,FV 6934,MRV,44.2095,43.1053,Russia,2023-10-25,10:45:00,Rossiya Airlines,0,Wednesday,Ontime
Sochi,FV 6720,AER,43.5853,39.7203,Russia,2023-10-25,10:50:00,Rossiya Airlines,0,Wednesday,Ontime
Moscow,5G 509,VKO,55.7558,37.6178,Russia,2023-10-25,11:00:00,Shirak Avia,1,Wednesday,Ontime
Mineralnye Vody,3F 361,MRV,44.2095,43.1053,Russia,2023-10-25,11:20:00,Fly One,1,Wednesday,Ontime
Istanbul,3F 476,IST,41.0136,28.955,Turkey,2023-10-25,11:30:00,Fly One,1,Wednesday,Onetime
Sofia,W6 4423,SOF,42.7,23.33,Bulgaria,2023-10-25,11:30:00,Wizz Air,0,Wednesday,Onetime
Moscow,WZ 4321,DME,55.7558,37.6178,Russia,2023-10-25,11:50:00,Red WIngs,0,Wednesday,Onetime
Rome,W4 8335,FCO,41.8931,12.4828,Italy,2023-10-25,12:05:00,Wizz Air,0,Wednesday,Onetime
Moscow,SU 1860,SVO,55.7558,37.6178,Russia,2023-10-25,12:50:00,Aeroflot,0,Wednesday,Onetime
Mineralnye Vody,A4 929,MRV,44.2095,43.1053,Russia,2023-10-25,13:10:00,Azimuth,0,Wednesday,Onetime
